MIR_ID	Rcc1_miR_prog	Rcc10_miR_nonprog	Rcc11_miR_prog	Rcc12_miR_nonprog	Rcc13_miR_nonprog	Rcc15_miR_nonprog	Rcc16_miR_nonprog	Rcc17_miR_nonprog	Rcc18_miR_nonprog	Rcc19_miR_nonprog	Rcc2_miR_prog	Rcc20_miR_nonprog	Rcc21_miR_nonprog	Rcc22_miR_nonprog	Rcc23_miR_nonprog	Rcc3_miR_prog	Rcc4_miR_nonprog	Rcc5_miR_prog	Rcc7_miR_nonprog	Rcc8_miR_prog	Rcc9_miR_prog
miR-143-3p	7831	503985	454868	221563	497605	336035	243632	621569	1099429	1227079	438168	46372	1346310	173675	509943	142742	209438	497014	156276	12075	49336
miR-22-3p	7809	23075	29990	18220	48284	36732	23380	33374	47792	33542	16283	31984	52553	20944	21325	9414	6154	35961	14810	11672	37735
miR-125a-5p	4469	43385	34825	27328	26107	26657	21694	39893	88397	68763	21834	17576	107986	22503	27699	16737	15835	37900	12053	4900	6333
miR-320a-3p	2817	2161.5	2214	3407.5	4840.5	4881	2641	3337	2882	4704.5	2963	8507.5	3988.5	4909.5	2269	2135	530	2416.5	3742	2216	5497
miR-12136-3p	2051	1507	1491	2750	905	1072	582	1085	3192	868	1302	1952	2413	671	1574	560	562	746	834	4121	2779
miR-125b-2-5p	1756	22375.66667	12015.66667	9552.666667	9771	11240.66667	7432.666667	18220	42825	20191.66667	10369	5477.666667	34437	8796.666667	10576.33333	5741	4062	14185.66667	5246	1933	2244
miR-3907-3p	1605	339	521	2158	381	2255	1470	727	456	604	536	3063	458	761	333	174	367	310	1325	4822.5	1989
miR-12136-5p	1414	1666	2410	1563	1297	1008	432	1532	5339	649	4417	465	1867	422.5	3470	1032	776	2094	1243	1222	2282
miR-99a-5p	1382	67760	23732.5	17682	34696	19035	15208	59099.5	77528.5	44118.5	29997.5	6920	63310.5	14446.5	18402.5	10104	7679	9984	9779	2062	2113
miR-30a-5p	1354	238798	196381	57742	237404	69145	96358	506792	294525	310263	210954	11055	369879	51175	149889	96225	71501	86816	24953	3033	32287
miR-100-5p	1330	10189	12433	5589	13957	12501	8779	19854	35086	29838	18170	3563	28506	17089	12100	12498	4313	19472	4936	1565	2303
miR-320b-1-3p	1315.75	1013.666667	1024.333333	1436.666667	2513.333333	2269.75	1213	1570.666667	1374	2155.333333	1453	4319	1967.333333	2566.2	1080.666667	1098.416667	187	1135	1937.666667	1033.666667	2723.766667
miR-369-3p	1148	10408	7236	3630	4262	4299	2341	4404	10101	6201	12785	1007	3501	2427	9081	8052	4670	16796	6288	1718	3339
miR-7853-3p	1138	424	556	647	344	323	188	350	1030	171	873	463	298	206	555	369	167	352	1060	1403	972
miR-10b-5p	1098	51134	44995	28724.5	55991	38555.5	29163.5	90670.5	131742.5	95021	73672.5	5037	119119	14411	38758.5	32759.5	30167	47329	9689.5	2075	5090.5
miR-10a-5p	1090	50395	29008.5	11935.5	19900	7946.5	8926.5	28112	65362.5	23426.5	14141	3550	51077.5	5778.5	18360	14036.5	14167	22051	4587.5	1218	2480.5
miR-423-3p	997	9936	7826	3870	10913	5897	5393	13277	11410	11750	7110	2123	16329	5444	4293	4339	3461	7120	3466	667	3152
miR-6765-3p	961	1970	1733	1787	1507	3185	1635	2671	1850	2693	1966	1835	2539	1926	1818	1100	1647	1538	1652	1986	3021
miR-6131-3p	940	572	713	681	378	772	260	550	699	469	927	703	360	429	782	560	444	915	1216	1410	1282
let-7b-5p	901	35907.13333	20850.56667	8894.966667	24553.11667	16738.7	12445.6	20833.43333	38014.55	34755.21667	17701.4	4200.05	47798.93333	11013.85	18578.4	13172.35	6098.25	22109.71667	5302.7	942.05	7766.1
miR-30e-5p	873	60445	26627	10346	48003	19912	22473	72002	54678	46906	32222	1790	51960	12842	24861	15362	12534	22107	4859	749	4387
miR-1268a-5p	825	314	382	376	255	318	143	131	532	171	607	453	299	197	493	317	262	603	755	911	1025
miR-378a-3p	778.5	3806.333333	4006	1690.5	5817.5	2376.866667	3333.533333	6920.283333	5221.8	5505.866667	4272.266667	1570.666667	8665.6	2711.233333	2754.966667	1399.333333	508.5	2361.5	2488.133333	822.1666667	2235.566667
miR-125b-5p	656	15887	9200	5695	7876	7562	5752	13066	33307	16199	7942	4037	27226	6943	7456	4402	2466	10901	3225	942	1480
miR-30d-5p	636	82948	45405	12049	65304	18847	19845	82497	73091	61090	39206	3651	83695	15866	29443	24101	19899	30675	6885	1192	4544
miR-4468-5p	613	163	102	170	64	198	33	88	220	81	223	227	79	77	235	136	68	178	299	650	276
miR-186-5p	613	10473	5639	2820	15323	6322	5984	15348	12833	10898	6238	1440	12090	4652	4762	3083	2920	6088	1810	847	913
miR-145-3p	586	5385	5758	4714	7151	5138	3756	7208	15127	17091	4965	2179	18760	4696	6253	2063	1672	5283	3837	594	1078
miR-146a-5p	551	8497	4122	3041.5	8991	3930.5	4919.5	18263.5	32449	12271	8120	1809	18291.5	7767	6814.5	5141	1186	8772.5	2703.5	891	2533
miR-127-3p	519	386	813	621	589	812	341	553	2016	1195	359	2051	1232	930	857	141	220	1089	846	536	677
let-7i-5p	513	49178	29048.08571	8569.585714	53292.32857	33521.84286	19820	56819	52745	44077	25713.45714	2912.5	48621.7	9842.5	20768.64286	16103.5	10656.8	44282.5	4645.485714	502.2142857	6648.6
miR-711-5p	501	4613	3733	1110	2653	1592	1699	3367	3117	2912	3395	874	4018	1863	2057	1855	3829	4265	1236	440	737
miR-760-5p	491	9059	10449	3063	7344	5183	6408	11917	7828	6001	15493	360	5473	2261	6818	11396	4447	17185	3328	558	4578
miR-21-5p	489	988056	891885	39051	1048837	264693	259359	956293	662937	782493	307065	7058	509300	102246	291977	192273	219209	1510415	19608	2649	22495
miR-106b-5p	484	7178	2244	655	2832.333333	5378	1834	5648	2891	4917	2822	343	2947	877	2195.333333	1968	1726	3968	477	520	534
miR-193a-5p	457	367	577	588	1524	889	580	1005	681	1061	616	885	1031	1346	408	450	83	565	561	277	612
miR-12136	431	305	446	691	270	335	206	309	1183	185	913	221	481	98	895	216	116	424	357	580	496
miR-378d-1-5p	425	48	98	206	40	88	19	68	100	16	87	126	53	32	99	36	19	24	133	287	165
miR-204-5p	418	45266	6235	2176	1987	687	3245	8421	18723	14407	10764	559	28010	2675	8045	6613	7315	442	1055	330	1305
miR-320c-1-3p	417	457.25	604.1666667	688.35	737.3333333	773.6666667	453.2166667	736.5	556.2666667	810.3333333	612	1558.825	691	783.15	346.7333333	387.0833333	65	548.1666667	636.1	797.25	988.9333333
miR-4443-5p	400	266	382	213	636	777	124	519	335	337.5	195	1943	515	845	182	141	61	165	393	412	589
miR-563-3p	394	758	389	397	537	592	345	897	261	557	701	657	529	300	252	296	170	398	704	368	514
miR-328-3p	374	1000	787	844	1454	1166	670	1324	1726	701	767	1156	1466	1379	391	445	319	544	719	622	489
